ds,y
5/3/20,349
5/4/20,499
5/5/20,543
5/6/20,562
5/7/20,476
5/8/20,618
5/9/20,481
5/10/20,342
5/11/20,505
5/12/20,843
5/13/20,706
5/14/20,566
5/15/20,6308
5/16/20,505
5/17/20,414
5/18/20,527
5/19/20,1891
5/20/20,1686
5/21/20,13483
5/22/20,7977
5/23/20,3917
5/24/20,2665
5/25/20,2659
5/26/20,4646
5/27/20,3173
5/28/20,3141
5/29/20,2437
5/30/20,1633
5/31/20,1619
6/1/20,1292
6/2/20,1502
6/3/20,1250
6/4/20,1513
6/5/20,1522
6/6/20,1040
6/7/20,922
6/8/20,1392
6/9/20,1972
6/10/20,2185
6/11/20,1967
6/12/20,1111
6/13/20,749
6/14/20,697
6/15/20,1091
6/16/20,1305
6/17/20,1234
6/18/20,2319
6/19/20,1423
6/20/20,823
6/21/20,1012
6/22/20,1074
6/23/20,925
6/24/20,921
6/25/20,1341
6/26/20,953
6/27/20,762
6/28/20,805
6/29/20,1061
6/30/20,2848
7/1/20,1784
7/2/20,1985
7/3/20,1474
7/4/20,1018
7/5/20,1102
7/6/20,1283
7/7/20,2165
7/8/20,1815
7/9/20,773
7/10/20,741
7/11/20,510
7/12/20,452
7/13/20,639
7/14/20,601
7/15/20,697
7/16/20,709
7/17/20,597
7/18/20,610
7/19/20,585
7/20/20,672
7/21/20,1093
7/22/20,900
7/23/20,676
7/24/20,633
7/25/20,437
7/26/20,507
7/27/20,703
7/28/20,1662
7/29/20,1116
7/30/20,845
7/31/20,672
8/1/20,390
8/2/20,473
8/3/20,345
8/4/20,324
8/5/20,320
8/6/20,293
8/7/20,271
8/8/20,199
8/9/20,205
8/10/20,304
8/11/20,413
8/12/20,474
8/13/20,370
8/14/20,335
8/15/20,233
8/16/20,271
8/17/20,494
8/18/20,692
8/19/20,497
8/20/20,1865
8/21/20,735
8/22/20,421
8/23/20,503
8/24/20,603
8/25/20,634
8/26/20,514
8/27/20,1013
8/28/20,712
8/29/20,570
8/30/20,497
8/31/20,1291
9/1/20,2312
9/2/20,984
9/3/20,2269
9/4/20,926
9/5/20,486
9/6/20,438
9/7/20,524
9/8/20,807
9/9/20,662
9/10/20,808
9/11/20,474
9/12/20,379
9/13/20,410
9/14/20,335
9/15/20,571
9/16/20,467
9/17/20,1228
9/18/20,581
9/19/20,435
9/20/20,418
9/21/20,930
9/22/20,655
9/23/20,338
9/24/20,241
9/25/20,276
9/26/20,219
9/27/20,220
9/28/20,293
9/29/20,301
9/30/20,355
10/1/20,3309
10/2/20,2320
10/3/20,1191
10/4/20,936
10/5/20,1159
10/6/20,2495
10/7/20,7549
10/8/20,3828
10/9/20,2007
10/10/20,449
10/11/20,417
10/12/20,566
10/13/20,901
10/14/20,683
10/15/20,525
10/16/20,428
10/17/20,314
10/18/20,403
10/19/20,457
10/20/20,431
10/21/20,432
10/22/20,348
10/23/20,351
10/24/20,260
10/25/20,337
10/26/20,419
10/27/20,2721
10/28/20,886
10/29/20,705
10/30/20,877
10/31/20,604
11/1/20,807
11/2/20,925
11/3/20,1491
11/4/20,2479
11/5/20,9673
11/6/20,1759
11/7/20,556
11/8/20,501
11/9/20,770
11/10/20,971
11/11/20,810
11/12/20,813
11/13/20,821
11/14/20,741
11/15/20,734
11/16/20,1110
11/17/20,3653
11/18/20,3380
11/19/20,3388
11/20/20,2075
11/21/20,1432
11/22/20,1627
11/23/20,1646
11/24/20,1625
11/25/20,5446
11/26/20,3859
11/27/20,8549
11/28/20,2798
11/29/20,3517
11/30/20,9084
12/1/20,3445
12/2/20,4548
12/3/20,858
12/4/20,700
12/5/20,599
12/6/20,622
12/7/20,789
12/8/20,755
12/9/20,814
12/10/20,1027
12/11/20,686
12/12/20,624
12/13/20,587
12/14/20,1200
12/15/20,2118
12/16/20,1308
12/17/20,1089
12/18/20,800
12/19/20,609
12/20/20,594
12/21/20,943
12/22/20,5904
12/23/20,5216
12/24/20,672
12/25/20,476
12/26/20,684
12/27/20,645
12/28/20,734
12/29/20,1040
12/30/20,1340
12/31/20,1023
1/1/21,722
1/2/21,734
1/3/21,621
1/4/21,553
1/5/21,550
,
